Time,Precipitation,pressure,humidex,Rosee,Temperature,Chill,Humidite,Dir_wind,Mod_wind
19-09-29_16,0.0,1054.0,18.0,0.7,14.5,14.5,39.0,274.0,9.0
19-09-29_17,0.0,1054.0,18.0,1.5,14.2,14.2,42.0,279.0,10.0
19-09-29_18,0.0,1054.0,17.0,1.4,14.1,14.1,42.0,284.0,10.0
19-09-29_19,0.0,1054.0,17.0,1.8,13.8,13.8,44.0,278.0,9.0
19-09-29_20,0.0,1055.0,16.0,2.3,13.4,13.4,47.0,275.0,11.0
19-09-29_21,0.0,1056.0,15.0,3.0,12.6,12.6,52.0,290.0,11.0
19-09-29_22,0.0,1056.0,14.0,4.2,11.9,11.9,59.0,303.0,7.0
19-09-29_23,0.0,1056.0,14.0,2.8,12.1,12.1,53.0,166.0,6.0
19-09-30_00,0.0,1056.0,13.0,2.4,11.4,11.4,54.0,78.0,7.0
19-09-30_01,0.0,1057.0,13.0,2.7,11.1,11.1,56.0,81.0,7.0
19-09-30_02,0.0,1057.0,12.0,3.7,10.4,10.4,63.0,62.0,8.0
19-09-30_03,0.0,1058.0,11.0,3.5,9.8,9.8,65.0,67.0,6.0
19-09-30_04,0.0,1057.0,10.0,3.3,9.3,9.3,66.0,70.0,8.0
19-09-30_05,0.0,1057.0,9.0,2.7,8.2,8.2,68.0,73.0,10.0
19-09-30_06,0.0,1057.0,8.0,2.7,7.8,7.8,70.0,72.0,9.0
19-09-30_07,0.0,1057.0,8.0,2.4,7.5,7.5,70.0,69.0,8.0
19-09-30_08,0.0,1057.0,8.0,2.9,7.6,7.6,72.0,70.0,8.0
19-09-30_09,0.0,1057.0,8.0,2.8,7.9,7.9,70.0,74.0,10.0
19-09-30_10,0.0,1057.0,9.0,1.9,8.5,8.5,63.0,73.0,9.0
19-09-30_11,0.0,1056.0,10.0,1.9,8.8,8.8,62.0,90.0,8.0
19-09-30_12,0.0,1055.0,12.0,1.9,10.3,10.3,56.0,90.0,8.0
19-09-30_13,0.0,1053.0,13.0,1.5,11.2,11.2,51.0,122.0,7.0
19-09-30_14,0.0,1052.0,15.0,1.0,12.3,12.3,46.0,100.0,7.0
19-09-30_15,0.0,1051.0,16.0,1.2,13.2,13.2,44.0,98.0,8.0
19-09-30_16,0.0,1051.0,17.0,1.3,14.0,14.0,42.0,89.0,7.0
